place,location,description
Theog,shimla," A quiet escape, one of the less crowded attractions of the state, Theog in Himachal Pradesh, warmly wrapped in the arms of the mighty Himalayas, has everything a popular hill station can give you minus the tourist rush.  "
Shimla Reserve Forest Sanctuary,shimla," Popularly for its rare variety of flora and fauna, this wildlife Sanctuary is a must-visit for all wildlife enthusiast. Animals such as jackals, barking deer, monkeys and leopards are commonly sighted here. "
Tattapani,shimla," Tattapani is a small village located 51km away from Shimla. Literally translating to hot water in Hindi, Tattapani known of its hot water spring that is believed to have curative properties for health ailments like stress, joint pain, fatigue and other skin diseases. Situated on the banks of river Sutlej, it is famous for rafting and other adventurous sports like Zorbing, Skiing, Paragliding, Trekking and Camping.   "
Skiing in Kufri,shimla," Located 16 km away from Shimla, Kufri is famous for its ski slopes and snow clad mountain views. Known for its ski runs Kufri attracts some of the largest numbers of travellers from far and wide who comes to visit Shimla. From the first snowfall of the year to the time the snow melts it is flocked by hundreds of skiers. Skiing is Kufri's primary allure. Best time to roll into the snow: Mid- December to early February. "
Lakkar Bazar,shimla," Located on the tiny road adjoining The Ridge in Shimla, Lakkar Bazaar is one of the popular street shopping places famous for the wooden decorative paraphernalia. There are also small shops lined along the market selling woollens, Pashmina shawls and handicrafts, with the Kullu shawls being the prime attraction. "
Jakhoo Ropeway,shimla," The Jakhoo ropeway is one of the four major ropeway attractions in the state, with the other being - Solang Nala at Rohtang, Naina Devi in Bilaspur and Timber Trial in Solan. The vintage British-era architecture coupled with the scenic views of the Himalayan landscape is thoroughly enjoyed by the ropeway cable car from the bottom of the hill to the top. Each ropeway cabin can carry six people and is one of the safest ropeways in all of India.  "
Gaiety Heritage Cultural Complex,shimla," Built in the Victorian or Gothic style of architecture over a century ago, this heritage monument is of immense historical and cultural significance in India. The complex had a theatre, several galleries, offices, bar, ballroom etc.  "
Gorton Castle,shimla," Gorton Castle is a heritage monument which is over a century old and was built during the Colonial era. Today, the castle is used as the office of the Accountant General of Himachal Pradesh. It is a perfect illustration of the rich history and heritage of India during the colonial era.  "
Bantony Castle,shimla, The Bantony estate is a heritage site built during the British era and is located on Bantony Hill in Shimla. The estate consists of the Bantony Castle and the Bantony Cottage. The estate now comes under the Heritage Zone of Shimla and is included in the Shimla Heritage walk for tourists.  
Gurudwara Sahib,shimla," Constructed in the year 1907, the Gurudwara Sahib at Padhawa hills is a small gurudwara known for the exquisite details in the interiors of the structure. It is a must-visit for devotees and tourists alike. "
Pabbar Valley,shimla," Pabbar Valley is a quaint little region of Himachal located 80km away from Shimla. One of the popular attactions here is the Pabbar River that cuts through the Chanshal Mountain Range, apple orchards, majestic mountains, lush green meadows, dense oak & deodar forests. The valley terrain with dense lush slopes of the mountains provide for exciting trails and is a trekkers paradise. "
Horse Riding in Shimla,shimla," Horse riding is a popular and much loved activity in both Shimla and Kufri. In Shimla, Horse Riding Options are generally available at the Ridge. "
Kasauli,shimla," Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, especially for a weekend getaway. Nestled amidst beautiful woody forests of pines (Chir Pine), herbs (Milk Thistle) and cedar trees, Kasauli owes its mystical and serene ambience to the lavish Victorian buildings built by the Britishers who resided here years back.  "
Naggar Castle,shimla," The Castle in Naggar is a medieval mansion of wood and stone that overlooks the beautiful valley of Kullu. Built-in 1460 A.D, the castle is a unique blend of the Western and Himalayan style of architecture. This property of Raja Sidh Singh was converted into a heritage hotel by the government in 1978.  "
Solan,shimla," Solan is a more low-key hill station ideal for travellers looking just some time away from city rush. A beautiful city in Himachal Pradesh, Solan has ancient temples and monasteries that attract hundreds of tourists and devotees every year.  "
Mashobra,shimla," Mashobra is a small and relatively less explored town, at a distance of mere 10 km from Shimla. Tucked away at a height of about 7700 feet makes it a perfect alternative for people who are looking for a peaceful little hill-station. With just about enough resorts and enchanting natural bounty, come to Mashobra if you have a for a lazy weekend outing or a week long vacation. "
Fagu,shimla," Situated at an elevation of 2500 meters, Fagu is a serene snow-clad hamlet, located around 45 minutes drive from Shimla. It is known for its apple plantations, sowing fields and the snow-covered Himalayas in the backdrop. Since it is secluded, Fagu is a honeymooner's heaven. It also popular amongst trekkers and naturalists. "
Shoghi,shimla," While Shimla is being flooded by tourists every year, a serene, calm and epitome of beauty lies near it, waiting to be discovered. Shoghi, a small hill station just 13 Kms. from Shimla is abundant in natural scenic beauty and a large variety of flora and fauna. "
Ice Skating in Shimla,shimla, Ice Skating is a famous sport in the beautiful city of Shimla. The Shimla Ice Skating Rink is well-known because it is a naturally formed rink found in the town and is also the largest and the only naturally formed rink found in South Asia. It draws not just the locals but tourists from across the globe. The experience of indulging in a sport at the foothills of the Himalayas is a breathtaking one.  
Wake & Bake,shimla," Cafe Wake & Bake is another one of the famous cafes in the tinsel town. With world class coffee, pancakes and bacon, the cafe attracts tourists in large numbers. Boasting of surreal picturesque views outside the window and artsy ones indoors, having a delicious breakfast here is one of the best things to do in Shimla. "
Cafe Hide Out,shimla," Cafe Hide Out is one other wonderful cafes in Shimla popular for its delicious snacks and even better coffee. Situated on the first floor near The Mall, the place is run by two brothers and offer finger licking food. In addition to that, the food is priced at fairly cheap rates and is a must stop cafe when in Shimla. "
Wild Flower Hall Hotel,shimla," Originally built as a residence of Lord Kitchener of Khartoum, this building is said to have been a favorite retreat of Lord Ripon. However, the building got burnt in 1993 and a new Wildflower building was built as a hotel there by joint venture between HP government and Oberoi group of Hotels. "
Retreat Building,shimla," Located in Chharabara, just 10 km from Shimla, this is the official retreat residence for the President of India. It was built in 1850 and was part of the Viceroy of India property. The architectural pattern and the natural beauty of the place have made The Retreat a tourist attraction in Shimla. "
Shimla Heritage Walk,shimla," Heritage walk is a guided tour of the Heritage Zone located in Shimla. These walks require exploring the heritage zone on foot to get a glimpse into the rich history of the ancient British town. One can choose to hire a guide to get more information and hear exciting stories from the British era. Almost all of the historical monuments in the city are well preserved, and tourists from all over the world visit the city to take a heritage walk. Besides the several other things to do in Shimla, this definitely tops the charts. "
Bharara Fair,shimla," Bharara Fair is held every year in the Village of Bharara held in the honour of Lord Koteshwar, locally known as Devta and is open for people belonging to all caste and creeds. It is an event where everyone comes together to celebrate and seek blessings from the Lord. "
Bhoj Fair,shimla," Bhoj Fair is celebrated in the Gumman Village in Shimla. It is a three-day event celebrated in the honour of Lord Banshur/ Lord Bansor, Lord Parshuram and Lord Kilbaru. Held in November every year, it is dedicated primarily to the commanding deity or the Kul Devta, Devta Bansor. "
Chanshal Pass,shimla," Also known by the name of Chanshal Valley, the Chanshal Pass is a refreshingly beautiful destination located in Himachal Pradesh, precisely 160 kilometres in distance from Shimla. Whether you work a tiring desk job or simply want to get away from the pollution and chaos of a metropolitan city, this gorgeous mountain valley is the perfect spot for your weekend getaway. "
Lavi Fair,shimla," Lavi Fair is a unique event held in Rampur Bushahr which is a municipal council in the district of Shimla. It is celebrated every year from 11th to 14th of November and is attended by small and large-scale merchants and businessmen, but is majorly organised to encourage business amongst the locals and the shepherds.  "
Tamluk,midnapore, Midnapore is located in the midst of many very beautiful places. So to fully enjoy the town you may have to travel to other places on its outskirts. Tamluk is one such place. 
Chandrakona,midnapore," Chandrakona is another such town, very close to Medinipur. The town has some of the most magnificent sites found in the entire district. These include the Fort of Ramgarh and Lalgarh, built by the Chauhan kings. "
Jora Masjid,midnapore," The Jora Masjid, literally mean twin mosques, as these are two mosques built side by side. One of the most popular destination in Midnapore, the Masjid is built with white marble in ancient Islamic architectural styles. "
Jhargram Palace,midnapore," Jhargram, near Midnapore, is another famous tourist destination. It is particularly known for the Jhargram Raj Palace, which has now been turned into a hotel and provides rooms for people who wish to stay in the palace. "
St,midnapore, One of the very unique things that Medinipur offers is that you can find places of worship for nearly every religion in this rather small town. The St. 
Kali temple,midnapore," The Kali Temple in Nutan bazaar is very popular. Idols of Kali are highly revered in this area. The evening prayer held at the temple is especially witnessed by devotees, who some times travel from nearby towns. The temple construction is done in old Indian 'Panchratana' Style. "
Dantan,midnapore," Dantan is located inside the main town. in addition to the very appealing local bazaar, Dantan also has the Temple of Samoleswar Mahadev and the lake of Bidyadhar Puskarini, all at a distance of a few meters from one another. "
Chilkigarh Kanak Durga mandir & Forest Area (Chilkigarh),midnapore," The premises of the Mandir has the main building and a small tract of forest in the same vicinity. The beautiful, calming temple and forest is a splendor in itself. "
Ruins of the Hall of Brahmo Samaj,midnapore," In its earlier days, Brahmo Samaj had considerable influence on societal norms. The original Brahmo Samaj Mandir built decades ago is now in ruins. The place is very old and is overgrown by marshes and plants. "
"the Jagannath Temple, the Shyamaleswar Temple, and the Chandaneswar Temple",midnapore, The three temples are situated in close proximity to one another in the Dantan region. The temples are all made from the same kind of rock and each houses a different idol. 
Bargabheema Temple,midnapore," A very attractive tourist spot in Tamluk is the Bargabheema Temple. The temple is devoted to Devi Bargabheema, a form of Goddess Kali. Believed to be nearly 1200 years old, the temple is believed to fulfill all wishes of devotees of the goddess. "
St,udupi," Located just 4 miles off the coast of Karnataka in the Arabian Sea, St. Mary's Island is a geological treasure and hosts some of the most beautiful beaches in the country. It is a group of four individual islands namely Coconut Island, North Island, South Island and Daryabahadurgarh Island. One can find a shoreline made up full of crystalline rocks which were created at the time Madagascar Island got separated from India. "
Malpe Beach,udupi," On the top of the list of exquisite unexplored beaches in India is the Malpe beach. It is located at a distance of 66 kilometres from Mangalore and 6 kilometres from Udupi in Karnataka. The pristine white sand, pleasant weather, and the delectable food shacks here and the sea walk make Malpe Beach an ideal spot for a quick escape. The latest addition to the beach by the authorities are the free wifi facilities that is available 24 x 7! "
Krishna Temple,udupi," Considered to be one of the most famous pilgrimage sites in South India, the Krishna Temple or the Udupi Sri Krishna Matha is one of the most auspicious temples dedicated to Lord Krishna. The idol of Krishna is adorned with jewels and a golden chariot. What makes the temple unique, is its worshipping pattern. The prayers and process of the whole worship take place only through a silver-plated window with nine holes called the Navagraha Kitiki. A temple known as Udupi Anantheshwara Temple surrounds the Shree Krishna Matha. This temple traces back to 1,000 years.  "
Kaup Beach,udupi," Located between Mangalore and the town Udupi, Kaup (Kapu) beach is another pristine and relatively untouched beach. There is a lighthouse here, constructed in 1901, which is open every day for an hour from 5:30 AM. The beach is lined There are many beautiful Airbnb's around the beach which makes for the perfect quiet getaway. The panoramic view of the sea from the top of the lighthouse is phenomenal. "
Delta Beach,udupi," Surrounded by water on three sides, Kodi Bengre Beach is a perfect attraction for beach lovers. With the Suvarna River draining into the Arabian Sea, it forms a delta and hence it gets its name as Delta Beach and is also known as a 'sangama' point. "
Jomlu Teertha,udupi," Located in the Someshwara Wildlife Sanctuary, Jomlu Teerth is a waterfall formed by the mesmerising River Sita. The fall cascades down a rocky terrain from a height of 20 feet in the middle of the dense natural reserve. The music made by the gushing water body and the birds singing their hearts away is sure to captivate one and all. "
Manipal,udupi," Well known for the Manipal University, this town is home to multiple educational institutions founded by Dr T M A Pai. It is located in the Malabar coast region with the Arabian Sea at a touching distance of 8km. Apart from the Manipal University campus, this place also houses the international headquarters of Syndicate bank and a regional IT hub.  "
Pajaka,udupi," The birthplace of Sri Madhavacharya, a Dvaita philosopher, this village has a number of attractions that depict or mark the events and life of the philosopher. Find here a Banyan tree grown by him and the Madhava Mandir. "
Kudlu Falls,udupi," Also known as Sita Falls, Kudlu Falls is famous for its picturesque beauty. The waterfall cascades down the Western Ghats from a height of 150 feet in the midst of a dense green cover of the hilly terrain. It requires a moderate level of trekking through the green zone to reach the enchanting waterfall. The attraction is, thus, a favourite amongst trekkers and nature lovers. "
Chandramouleshwara Temple,udupi," Devoted to Lord Shiva, this temple must be visited by all devotees before visiting the Krishna Temple as it is also located right next to it. The history of this temple dates back to over 900 years and is older than the Krishna Mutt. It is said to be extremely peaceful inside.  "
Mookambika Temple,udupi," Mookambika Temple is dedicated to Aadiprakarshakti who is believed to embody the powers of three goddesses, Goddess Saraswati, Goddess Mahakali and Maha Lakshmi. The sanctum sanctorum houses a Linga represents Purusha as well as Shakti and is called the Udbhavlinga. "
Anantheshwara Temple,udupi," Dedicated to Lord Shiva, Ananteshwar Temple is an ancient 8th-century temple believed to be the oldest in the region. The temple complex also houses Chandramouleshwara and Krishna Temples. The main shrine is made of stone and has a recently installed silver door frame. A Hindu philosopher, Madhavacharya, trained and taught his disciples in the temple complex. "
Coin Museum,udupi," Coin Museum Corp Bank, also known as Corporation Bank Heritage Museum has an extensive collection of coins belonging to various dynasties dating back to 400 BC. One can also get extensive knowledge about the history of banking in India since 1906. The Corporation Bank's founder's house was remodelled to establish the heritage museum as a 'Financial Temple'. The museum houses about 1400 coins with a current market value of over 4 million rupees. "
Pajaka Kshetra,udupi," Pajaka Kshetra is the birthplace of a renowned philosopher, Shree Madhavacharya. The place is believed to be highly sacred and has been mentioned in a biographical poem named Sampraday Paddhati written by Shree Hrushikesha, a disciple of Shree Madhavacharya. Several facts and monuments associated with Madhavacharya have been maintained in the kshetra that devotees and tourists can explore. "
Sri Brahmi Durgaparameshwari Temple,udupi," Sri Brahmi Durga Parameshwari Temple is dedicated to Goddess Durga Parameshwari who is worshipped in the form of Linga. The Linga is also believed to be the convergence of Maha Lakshmi, Goddess Saraswati and Mahakali. The temple has an evening mangalarti, called the Salaam Mangalarti, dedicated to Tipu Sultan to commemorate his visit to the shrine. "
Anantha Padmanabha Temple,udupi," Located on the beautiful banks of River Sita, Anantha Padmanabha Temple is a 7th century temple dedicated to Lord Anantha Padmanabha. The temple is said to be built by Krishna Hebbar after a fire destroyed most of the shrine along with the temple car. The new structure now also houses an idol of Lord Ganesha and Rudralinga. "
Sri Indrani Panchadurga Parameshwari Temple,udupi, Sri Indrani Panchadurga Parameshwari Temple is an 11th century shrine dedicated to Goddess Durga. The temple houses five (pancha) Lingas that represent the Goddess and a stone sculpture of Vanadurga. The temple is one of the Shakti Peethas and is situated in a vast temple complex. 
Anejhari Butterfly Camp,udupi," Anejari Butterfly Camp is an exciting little attraction in the midst of dense foliage of the Mookambila Wildlife Sanctuary. Nature lovers can spend an ample amount of time watching beautiful butterflies and birds in their natural habitat or go on soothing nature walks while adventure seekers can trek the enchanting trails through the reserve to reach the 10th highest peak in the state, the Kodachadri Peak. "
Kollur,udupi," Situated at the foot of Western ghats, this temple city of Kollur, also known as Kolapura, is a famous pilgrimage site in Karnataka. Often believed that sage Kola’s spiritual faith has led to the enlightenment of the city with the building of the famous Mookambika temple, devoted for worshipping Shakti or Parvati Goddess. "
Shopping in Udupi,udupi," Ratha Beedi is a popular market near the Krishna Market where one can shop for local spices, vessels, earthenware and handicrafts. One may also go to the City Centre Mall here. While in Udupi, get your hands on the Kanjiwaram Silk Saris and local style jewellery that the town is known for. "
Someshwara Wildlife Sanctuary,udupi," Nestled in the Western Ghats of Udupi, these semi-evergreen and evergreen forests have been named after the Lord Someshwera, whose temple lies in the sanctuary area. Receiving the highest rainfall in Karnataka, the Agumbe Ghat in Someshwara Wildlife Sanctuary is known as the Cherrapunji of Karnataka.
 "
Hoode Beach,udupi, Hoode Beach is a secluded beach located in Kodi Bengare village in Udupi. Visitors can enjoy the calm ambience and gentle waves of the shore with coconut trees forming the perfect backdrop. 
Sea Walk Malpe,udupi," Located by the Malpe Harbour, the Sea Walk is one of the most popular tourist attractions of the region. Visitors get to view the vast expanse of the Arabian Sea on one side of the 450m walkway, with the backwaters of the Swarna River on the other side. 

 "
Varanga,udupi," Located 39 kms away from Udupi, the village of Varanga is a popular pilgrim centre with a rich Jain heritage. The village is known for its Jain temples and local architecture
 "
Mattu Beach,udupi," If one craves peace and quiet while visiting a beach, then Mattu Beach in Udupi is definitely a place they must visit. This secluded beach is located just off NH66, 10 kms from Udupi.
 "
Kemmannu Hanging Bridge,udupi," Located 7.5 kms from Delta Beach, the Kemmannu Hanging Bridge is a hidden tourist attraction in Udupi. Built originally to connect the two banks of the Swarna River, it has now become a location for a number of adventure sports.

 "
Padukere Beach,udupi," Padukere Beach is a hidden treasure located 29km from Udupi. The beach can be accessed by ferry or by a bridge. Located near Malpe Beach, it is the perfect spot for those looking to avoid the tourist hustle and bustle as well as visitors looking to plan a picnic by the coast. "
Manipal Museum of Anatomy and Pathology,udupi," Established over 40 years ago by Dr. SS Godbole, the the Manipal Museum of Anatomy and Pathology or MAP houses a vast collection of over 3000 specimens. Divided into two sections, the anatomy section is where one can find the skull of an elephant and the skeleton of a cobra as well as exhibits of human body parts. The pathology section consists of diseased organs and body parts. The life-style related diseases display helps visitors understand the impact of modern lifestyle on our body. "
Cycling,udupi," Cycling is one of the best activities to indulge in if you are visiting Udupi and its coastal areas. This activity allows tourists to enjoy the beaches and other tourist attractions in the region, despite the slightly challenging terrain changes. The best times to go cycling are early in the morning during sunrise or in the evening as the sun sets over the Arabian Sea. "
St,udupi," The St. Lawrence Shrine Basilica in Karkala, Udupi attracts tourists and pilgrims from around the world. Built in 1759, this Gothic church inspires awe amongst visitors thanks to its towering spires, twin gates and plush lawns. A pond on the premises adds serenity to the church, making it a great place to visit "
Varanga Jain Temple,udupi," One of Karnataka's most unique and treasured shrines, the ancient temples of Varanga are located in the Varanga village, Hebri Taluk of Udupi. An abode of art, architecture and heritage is truly a paradise for lovers of history and culture. This cluster of three temples; namely Neminatha temple, Varanga Matada Basadi and Varanga Kere Basadi, is a must-visit in Udupi.
 "
Rafting in Bramhaputra (Tuting),dibrugarh, A lifetime expedition into the country’s north-east on one of the world’s longest river Brahmaputra. The rafting in the remote area is a breath taking experience.  
Dinjoy Satra,dibrugarh, The tourist spot of Dinjoy Satra is situated around 5 km towards the north of Chabua Township. It was a Satra found by Aniruddha Dev at Bisnubalikakunshi village towards North Lakhimpur that was later shifted to Khutiaputa. 
Shopping in Dibrugarh,dibrugarh," Chamba shopping scene is popular for handicrafts, the really-in-demand chappals and pickles. Here's where you can find them! "
Dehing Namti Satra,dibrugarh," This tourist destination is located on the banks of Disang River in Sasoni Mouza and is around 8 miles from Naharkatiya town. Currently, the main branch of the Satra is located at Namti in Nazira. "
Raidongia Dol,dibrugarh," Among all the monuments in Dibrugarh, the Raidongia Dol is one of the most famous one, located in Larua Mouza in Kalakhowa region, near Dihingia Barbarua road, the Raidongia Doll is of a height of about 45 ft, and is a magnificent structure. "
Barbarua Maidam,dibrugarh," The maidam (ancient burial mound of royalty and aristocracy) consists of two ancient graveyards, said to be devoted to high ranked officials. There are two other in the area, devoted to dead soldiers. "
Bahikhowa Maidam,dibrugarh," During the rule of Rajeswar Singha, Bahikhowa Dasarath Dowerah Borphukan was the Chief of the Army Staff of Ahoms or the Borphukan. This maidam is dedicated to him and is located in the Khowang Tea Estate, but is presently in ruins. "
Lekai Chetia Maidam,dibrugarh," The Lekai Chetia Maidam is located near the Mankota road at Sessa and is presently known as Thaan, which means a religious institution. This big maidam has a site towards its north, which is known as Lekai. "
Sarumechlow and Bormechow Maidam,dibrugarh," These two maidams are the graveyards of the two queens of King Sukhampha Khura, belonging to the Ahom regime - Bormechow and Sarumechlow. These are the graves of the royalty in that region. "
Tea Gardens,dibrugarh," Assam is popular for its resplendent tea gardens spanning over acres and acres of land. When in Dibrugarh, you should definitely take a tour of one. Boasting of scintillating greenery, you can watch the tea pickers at work, and gain an insight into the tea making process. You can also taste premium quality tea here and take back some with you. "
Majuli,jorhat," Majuli is a beautiful island located in the river Brahmaputra, close to Jorhat. This island is the biggest river island in the world and it attracts tourists from all over the world. "
Hoollongapar Gibbon Wildlife Sanctuary,jorhat," Located around 20 km from the main town, this isolated wildlife sanctuary is famous for its hoolock gibbon population. Surrounded by the Brahmaputra river on one side and with tea gardens everywhere else, this is a good enclosure for the 40 or so species of hoolock gibbons that reside here. "
Dhekiakhowa Bor Namghar,jorhat," Established by the saint and reformer Madhabdev in the year 1461, this is a famous Assamese temple just 4km from the main city. The saint reformer started this centre for preaching Vaishnavism. It is a large complex wherein various cultural and social programmes are held. "
Nimati Ghat,jorhat," One of the most important ports of the state, the Nimati ghat serves as a link for ferry boats that operate from the river port to the Majuli Island, Kamalabari and Auniati. "
Raja Maidam,jorhat," Located North of Jorhat, the beautiful Raja Maidam is a vault that preserves ashes of the erstwhile King Purandar Sinha. This maidam was constructed after his death, on 1st October 1894. It is now a pretty park. "
Cinnamora Tea Estate,jorhat," Maniram Dewan, a sirastadar of an assistant commissioner had established this tea estate in 1850. At that time, he worked under the British administration at Jorhat. The Cinnamora Tea Estate is the first tea estate of Assam ! "
Sukapha Samannay Kshetra,jorhat," Sukapha Samannay Kshetra was constructed in the memory of Sukapha, the first Ahom king of Assam. An excavation is undergoing here hoping to find remains of the Ahom Kingdom. "
Ladai Garh,jorhat," This is a fortified structure nearly 15km from Jorhat. It was constructed by King Pratap Sinha to protect his kingdom from the neighbouring kingdoms. The garh comprises three parts out of which, Mera Garh is at Majhuli. "
Burigosain Devalay,jorhat," This temple is situated in the heart of Jorhat city and Burigosain is the presiding deity of the temple. Apart from this, another deity here is that of a priest. Both the deities were brought from Jayantiya and established first at Rangpur. Later, these idols were shifted to its present location. "
Bangalpukhari,jorhat,"  Bangalpukhari is a celebrated water tank located in the South of Jorhat City. Created in 1739, this water tank is untouched by the people of this city due to the myth that it will bring bad omens. This famous water reservoir is located near Na-Ali and even though it is not used, it has become quite a popular tourist attraction in Jorhat. 

 "
Tocklai Tea Centre,jorhat," Tocklai Team Center, also known as Tocklai Tea Research Center or Tocklai Experimental Station for Tea Research is a laboratory and research institute sited near River Tocklai in Jorhat, Assam. Established in 1911, this tea station is marked as one of the largest and oldest tea stations in the world and is definitely a must-visit spot for all the tea-lovers. 
 "
Thengal Bhavan,jorhat," The official place where the first Assamese newspaper was released, Thengal Bhawan has now become a leading attraction in Jorhat. It was built in 1880 by Raibahadur Siva Prasad Barooah and the first newspaper was printed in the local language in 1929, called the Assamese Weekly. This attraction, even though is very simplistic, is definitely a go-to spot for anyone who visits Jorhat.  "
Hatibaruah Namghar,jorhat," The holy place for the Assamese community, Hatibaruah Namghar Temple is the main place of worship for the natives. The word “Namghar” literally translates to Prayer House and is highly precious to the Ekasarana sect of Hinduism. When in Jorhat, taking out time to visit this temple can be a great option. 
 "
Gazpur,jorhat," A place initially created to keep elephants is now in ruins. The king of this place is said to have asked his soldiers to bring around a 1000 elephants that he had captured here in order to celebrate the inauguration of a new city under his rule. Despite the unfortunate history behind this place, this attraction is still worth a visit.  "
Magolu Khat,jorhat," A historical site created by the King Rajeshwar Sinha, the Magolus or the Manipuris were built after he got married to the Manipuri princess, Kuranganayani. This attraction was thus, built as a symbol of love and what a king can do for his significant other. Even though in ruins today, Magolu Khat is definitely worth a visit. 
 "
Molai Forest,jorhat," Often referred to as the “One-man forest”, MolaiForest is a famous forest on Majuli Island in Jorhat, Assam. It is named after Jadav Payeng, a forestry worker and environmental activist. When the forest was abandoned by the forestry division of Golaghat District in 1983, Jadav single-handedly put in 30 years of effort into making this a full-fledged 1360-acre forest reserve which has also been the site for a number of documentaries and films.  "
Jorhat Gymkhana Club,jorhat," Built by D. Simons, Jorhat Gymkhana Club is a sports venue in Jorhat that majorly focuses on horseracing, lawn tennis grass courts, billiard, swimming pools, gentleman’s bar, cinema theatre and polo. This club dates back to the British era as it was built in 1876. It is the site for the Governor’s Cup event every year and has served as a venue for horse racing for over 140 years.  
 "
Lachit Borphukan’s Maidam,jorhat," Lachit Borphukan’s Maidam, named after the famous Ahom General, Lachit Borphukan is one of the most interesting attractions in Jorhat. This maidam has a memorial stone which was constructed in the memory of the 16th-century warrior of this city. It is often recommended to visit this attraction in order to pay tribute to this great soul and is definitely worth a visit.  "
Nimati,jorhat," Nimati Ghat, or just Nimati, is one of the most essential ports in Assam. It is the only entry point to the largest river island in the world, Majuli and it serves as a link for ferries that go to Auniata and Kamalabari. This Ghat is located near the Brahmaputra river and is significant not only for local villages here but also for upper Assam.  "
Kakochang Waterfalls,jorhat," Located at an altitude of 116 meters, Kakochang Waterfalls are one of the most popular waterfalls in Assam. Also called Kakojan, it is situated in the unknown forests of Bokakhat. Remains of the historical Numaligarh can be found at this site. However, more than that, these waterfalls offer a remarkable view to visitors and serve as a great picnic spot.  "
Dhekiakhowa Bornamghar Jorhat,jorhat," Dhekiakhowa Bornamghar, a Nambghar in Jorhat is said to have been built by Madhavdeva, a saint-reformer. He ignited an earthen lamp which had been burning since 1528 and till date, it is kindled by priests in this Namghar. It is called Bornamghar due to its rich history and a large campus. The Namghar is spread across 13 bighas of land and is the site for a number of social, cultural and religious activities in Jorhat.  "
Mukteshwar temple,pathankot, Lying just 22 km off Pathankot is an ancient Mukteshwar Temple. The temple houses very old caves that are believed to be the same place where the Pandavas stayed during their exile. 
Nurpur Fort,pathankot," Nurpur Fort is a 900 year old fort, popular for its ancient Krishna temple located in the inner sanctum. It was built by Pathania Rajputs and later Shah Jahan named it after his beloved wife Nur Jahan. "
Ranjit Sagar Dam,pathankot," Ranjit Sagar Dam was built for the irrigation and power generation. Built on River Ravi, it is a stunning work of engineering and the biggest hydroelectric project in Punjab. 60% of the 32 billion cubic metre capacity reservoir formed falls in the Jammu and Kashmir region while the remaining 40% in Pathankot. The power plant has four turbines that generate 600 MW of total electricity. "
Shahpurkandi Fort,pathankot," Built by the Shah Jahan's Rajput Chief Jaspal Singh Pathania in 1505, Shahpurkandi Fort was built to protect regions of Nurpur and Kangra. Today, the fort is in ruins. "
Kathgarh temple,pathankot," Located in the village of Kathgarh, this temple is renowned for its 6 ft high Shivalinga. The temple is situated at a point of confluence of the Beas and Choch River offering an admiring landscape all around. "
Nagni Temple,pathankot," Dedicated to the Goddess of Snakes, the temple is revered for its ability to fulfill wishes. "
Kali Mata Ka Mandir,pathankot," Kali Mata Ka Mandir is an old temple dedicated to the Goddess, Kali Mata. Devotees flock to the temple in large numbers on Tuesdays, a day considered auspicious and the festival of Navratri. The temple arranges Bhandara every Tuesday for the devotees. "
"Laxmi Narayan Mandir, Pathankot",pathankot," Dedicated to Lord Vishnu and Goddess Lakshmi, Lakshmi Narayan Mandir is a famous temple in the region. It is one of the largest temples in Pathankot and has the idols of the deity in the main shrine and a large statue of Lord Hanuman in the courtyard. With ample space and greenery all around, the temple is a perfect attraction to quite a troubled soul. "
Shani Dev Mandir,pathankot, Shani Dev Mandir is a famous shrine dedicated to Lord Shani. It is believed that offering prayers to Shani can relieve one of their miseries and difficulties. The shrine is located amidst beautiful natural surroundings with the Himalayas in the background offering a tranquil atmosphere for contemplating. 
Ashapurni Mandir,pathankot," Ashapurni Mandir is one of the oldest temples in Pathankot, dedicated to Mata Ashapurni, who is considered to be an extremely powerful deity. Kanya Poojas and the annual festival of Navratri are celebrated at the temple with great enthusiasm. "
Hydraulic Research Station,pathankot," Hydraulic Research Station is a perfect attraction for engineers and engineering enthusiasts, especially those interested in hydraulics and civil engineering. The station has an impressive display of dam models and models of systems used for irrigation. One can make the most of the simulations and the research information readily available at the station. "
Novelty Mall,pathankot," Situated on the Dalhousie Road in Pathankot, Novelty Mall is one of the top shopping malls in the city. Boasting of big brand outlets and global brands, you can visit here to shop anything from apparel to footwear, home decor, appliances, cosmetics or anything else. There is also a PVR where you can watch the latest Hollywood and Bollywood movies, and a food court where you can satiate your hunger pangs. Besides, it has ample parking space where you can park your vehicles. "
City Center Mall,pathankot," The City Center Mall of Pathankot is a large shopping mall located on Gandhi Chowk. It is the first mall to come up in Pathankot. The mall comprises of many novelty stores and shops, and brands of all kinds find their footprints in this mall. One can find everything from fashion, accessories, beauty and household products in this mall. "
